trade_date,idx,open,high,low,close,preclose,change,pctChg,volume,amount,turn,turn_f,pe,pe_ttm,pb,total_share,float_share,free_share,total_mv,float_mv
20140102.0,01000001,2112.126,2113.11,2101.016,2109.387,2115.978,-6.591,-0.3115,6848548600.0,61921354651.0,,,,,,,,,,
20140102.0,01000020,846.238,852.374,844.687,851.917,847.911,4.006,0.4725,1530199800.0,15020523650.0,,,,,,,,,,
20140102.0,01000688,,,,,,,,,,,,,,,,,,,
20140102.0,01000852,4477.763,4539.538,4470.133,4539.5,4482.861,56.639,1.2635,4688804803.0,54014229329.0,,,,,,,,,,
20140102.0,01000905,3823.316,3848.253,3813.806,3847.879,3829.096,18.783,0.4905,3080026000.0,31417807017.0,,,,,,,,,,
20140102.0,02399001,8083.772,8124.558,8048.274,8114.388,8121.788,-7.4,-0.0911,7652367597.0,95994236324.6,,,,,,,,,,
20140102.0,02399005,4975.653,5071.17,4969.682,5059.369,4979.855,79.514,1.5967,3214896759.0,43801231536.8,,,,,,,,,,
20140102.0,02399006,1302.298,1333.103,1299.336,1333.003,1304.444,28.559,2.1894,1637614228.0,28859385045.6,,,,,,,,,,
20140102.0,02399673,1281.4197,1312.291,1281.4197,1311.9751,1284.7172,27.2579,2.1217,341722441.0,9003153732.699999,,,,,,,,,,
20140103.0,01000001,2101.542,2102.167,2075.899,2083.136,2109.387,-26.251,-1.2445,8449724100.0,72372229162.0,,,,,,,,,,
20140103.0,01000020,849.795,849.855,839.426,842.177,851.917,-9.74,-1.1433,1651747800.0,16635907173.0,,,,,,,,,,
20140103.0,01000688,,,,,,,,,,,,,,,,,,,
20140103.0,01000852,4530.637,4543.212,4504.953,4531.747,4539.5,-7.753,-0.1708,5429771415.0,62043078033.0,,,,,,,,,,
20140103.0,01000905,3841.219,3843.36,3802.992,3816.316,3847.879,-31.563,-0.8203,3481756100.0,35851633239.0,,,,,,,,,,
20140103.0,02399001,8077.48,8094.957,7995.593,8028.33,8114.388,-86.058,-1.0606,8876057486.0,110628925090.5,,,,,,,,,,
20140103.0,02399005,5044.4,5084.206,5039.957,5068.632,5059.369,9.263,0.1831,3887386754.0,51271773078.6,,,,,,,,,,
20140103.0,02399006,1332.352,1355.121,1331.973,1352.84,1333.003,19.837,1.4881,1911666206.0,33475253849.7,,,,,,,,,,
20140103.0,02399673,1311.8371,1337.5359,1311.8371,1333.3954,1311.9751,21.4203,1.6327,415801824.0,10974744569.0,,,,,,,,,,
20140106.0,01000001,2078.684,2078.684,2034.006,2045.709,2083.136,-37.427,-1.7967,8958760800.0,72895394974.0,,,,,,,,,,
20140106.0,01000020,840.428,840.428,819.801,820.203,842.177,-21.974,-2.6092,1648122200.0,15584029732.0,,,,,,,,,,
20140106.0,01000688,,,,,,,,,,,,,,,,,,,
20140106.0,01000852,4522.037,4522.037,4408.385,4411.27,4531.747,-120.477,-2.6585,5557321321.0,61178493995.0,,,,,,,,,,
20140106.0,01000905,3806.585,3806.585,3709.909,3710.898,3816.316,-105.418,-2.7623,3451186600.0,33089075606.0,,,,,,,,,,
20140106.0,02399001,8013.369,8013.369,7790.896,7818.458,8028.33,-209.872,-2.6141,9028792729.0,105665823491.6,,,,,,,,,,
20140106.0,02399005,5057.954,5057.954,4944.391,4950.747,5068.632,-117.885,-2.3258,3863240035.0,48217252937.3,,,,,,,,,,
20140106.0,02399006,1350.312,1354.15,1322.716,1323.328,1352.84,-29.512,-2.1815,1702757292.0000002,30196234333.1,,,,,,,,,,
20140106.0,02399673,1329.1661,1335.3394,1298.2333,1298.2932,1333.3954,-35.1022,-2.6325,347982504.0,9485871372.099998,,,,,,,,,,
20140107.0,01000001,2034.224,2052.279,2029.246,2047.317,2045.709,1.608,0.0786,6340293800.0,54638641623.0,,,,,,,,,,
20140107.0,01000020,817.418,827.226,815.428,825.74,820.203,5.537,0.6751,1374100700.0,13346612684.0,,,,,,,,,,
20140107.0,01000688,,,,,,,,,,,,,,,,,,,
20140107.0,01000852,4391.446,4458.557,4382.777,4458.557,4411.27,47.287,1.072,4458494186.0,50475932318.0,,,,,,,,,,
20140107.0,01000905,3699.901,3740.717,3688.421,3733.662,3710.898,22.764,0.6134,2720862100.0,27587590271.0,,,,,,,,,,
20140107.0,02399001,7760.961,7848.363,7752.56,7806.312,7818.458,-12.146,-0.1554,7083098011.0,84888201487.7,,,,,,,,,,
20140107.0,02399005,4928.314,4994.967,4920.138,4988.5,4950.747,37.753,0.7626,3159702313.0,39756361477.8,,,,,,,,,,
20140107.0,02399006,1315.436,1355.4,1312.269,1352.276,1323.328,28.948,2.1875,1488436268.0,25625234995.1,,,,,,,,,,
20140107.0,02399673,1289.4651,1332.3839,1289.4651,1328.3374,1298.2932,30.0442,2.3141,344925858.0,8667510839.8,,,,,,,,,,
20140108.0,01000001,2047.256,2062.952,2037.11,2044.34,2047.317,-2.977,-0.1454,7164736400.0,62941429756.0,0.3,1.01,10.4,9.35,1.3,3244394828935.0,2363418021193.0,710366097294.0,17678374997249.0,13159125391960.0
20140108.0,01000020,825.848,832.719,823.453,826.684,825.74,0.944,0.1143,1518003300.0,15082527009.0,,,,,,,,,,
20140108.0,01000688,,,,,,,,,,,,,,,,,,,
20140108.0,01000852,4466.036,4521.713,4466.018,4504.673,4458.557,46.116,1.0343,5313907708.0,65633909315.0,,,,,,,,,,
20140108.0,01000905,3735.503,3768.503,3726.114,3738.205,3733.662,4.543,0.1217,3194344100.0,32589003760.0,0.94,1.64,30.85,28.0,2.28,417420290684.0,340009277220.0,195350920562.0,3584368929339.0,2795945541252.0
20140108.0,02399001,7816.984,7901.22,7770.381,7802.143,7806.312,-4.169,-0.0534,8621747549.0,110955649659.6,0.72,1.12,15.62,14.32,2.12,143170139513.0,112651252963.0,72925814745.0,1745874956446.0,1278485450245.0
20140108.0,02399005,4992.555,5039.102,4969.119,5019.879,4988.5,31.379,0.629,3585236832.0,46823257376.0,1.47,2.75,30.84,29.42,3.78,87426988874.0,71473736010.0,38217533227.0,1497829002593.0,1129421390018.0
20140108.0,02399006,1363.306,1409.21,1363.306,1405.023,1352.276,52.747,3.9006,2249287834.0,42087683935.0,4.15,5.69,72.1,63.46,6.24,33000535002.0,20950150520.0,15266198748.0,900861455853.0,542860362106.0
20140108.0,02399673,1349.5149,1393.7816,1349.5149,1387.2164,1328.3374,58.879,4.4325,567275406.0,15667503661.0,,,,,,,,,,
20140109.0,01000001,2041.773,2057.196,2026.446,2027.622,2044.34,-16.718,-0.8178,7594188300.0,67605664107.99999,0.32,1.07,10.32,9.27,1.28,3244394828935.0,2363418021193.0,710366097294.0,17535731958840.0,13050777064174.0
20140109.0,01000020,825.809,833.043,817.247,817.813,826.684,-8.871,-1.0731,1610766600.0,16733646889.0,,,,,,,,,,
20140109.0,01000688,,,,,,,,,,,,,,,,,,,
20140109.0,01000852,4499.099,4531.292,4431.443,4431.8,4504.673,-72.873,-1.6177,5362177292.0,66202600952.0,,,,,,,,,,
20140109.0,01000905,3732.861,3768.618,3693.64,3696.023,3738.205,-42.182,-1.1284,3335413500.0,34352021520.000004,0.98,1.71,30.5,27.68,2.25,417338040684.0,340009277220.0,195366029462.0,3543614570070.0,2764377774175.0
20140109.0,02399001,7774.65,7875.585,7740.846,7746.737,7802.143,-55.406,-0.7101,8890738021.0,112487470133.2,0.94,1.45,15.64,14.34,2.09,144493524504.0,111976226160.0,72250787942.0,1748673074332.0,1268012388995.0
20140109.0,02399005,5005.562,5063.336,4944.177,4944.613,5019.879,-75.266,-1.4994,3625169222.0,48370289730.6,1.46,2.74,30.38,28.98,3.73,87426988874.0,71473736010.0,38231309242.0,1475476722934.0,1112398612101.0
20140109.0,02399006,1401.797,1423.837,1379.648,1380.244,1405.023,-24.779,-1.7636,2065346918.0,39430127085.0,3.63,5.0,70.84,62.31,6.13,33000535002.0,21014077909.0,15265085572.0,885029724938.0,534041542193.0
20140109.0,02399673,1379.1504,1414.2262,1363.3729,1363.7941,1387.2164,-23.4223,-1.6884,541967203.0,15244976759.0,,,,,,,,,,
20140110.0,01000001,2023.535,2029.297,2008.007,2013.298,2027.622,-14.324,-0.7064,7561612100.0,61044553200.0,0.32,1.06,10.26,9.21,1.28,3244889546089.0,2364013184157.0,710918190656.0,17430990290906.0,12974328680074.0
20140110.0,01000020,814.94,815.801,801.422,803.946,817.813,-13.867,-1.6956,1465400600.0,14228442712.0,,,,,,,,,,
20140110.0,01000688,,,,,,,,,,,,,,,,,,,
20140110.0,01000852,4415.099,4432.845,4339.461,4354.844,4431.8,-76.956,-1.7365,4621283223.0,51380480723.0,,,,,,,,,,
20140110.0,01000905,3685.019,3689.187,3619.679,3628.634,3696.023,-67.389,-1.8233,3139330300.0,29759859726.0,0.92,1.61,29.99,27.22,2.21,417420290684.0,340671821018.0,195372665078.0,3484919073068.0,2723462185575.0
20140110.0,02399001,7723.744,7732.038,7644.922,7648.043,7746.737,-98.694,-1.274,7464718645.0,86053514847.29999,0.72,1.11,15.43,14.12,2.06,144493524504.0,111976226160.0,72250787942.0,1724562249978.0,1251881647193.0
20140110.0,02399005,4930.507,4947.949,4847.76,4860.31,4944.613,-84.303,-1.7049,3074119681.0,39729410033.8,1.16,2.19,29.85,28.48,3.66,87426988874.0,71992597455.0,38178729242.0,1449763492624.0,1100728901503.0
20140110.0,02399006,1373.517,1385.855,1347.61,1353.302,1380.244,-26.942,-1.952,1386138211.0,24539395107.9,2.09,2.88,69.46,61.1,6.01,33001511002.0,21014077909.0,15265085572.0,867830074642.0,523665140567.0
20140110.0,02399673,1356.6738,1372.5337,1334.1526,1339.4567,1363.7941,-24.3374,-1.7845,258838904.0,7226047047.7,,,,,,,,,,
20140113.0,01000001,2014.978,2027.181,2000.404,2009.564,2013.298,-3.734,-0.1855,6654477600.0,55616750648.0,0.28,0.93,10.25,9.2,1.28,3245062621645.0,2364017344227.0,710939330774.0,17420800307333.0,12957956736084.0
20140113.0,01000020,803.841,809.048,793.061,797.532,803.946,-6.414,-0.7978,1311639300.0,13093544390.0,,,,,,,,,,
20140113.0,01000688,,,,,,,,,,,,,,,,,,,
20140113.0,01000852,4350.654,4386.502,4320.717,4346.713,4354.844,-8.131,-0.1867,4021470023.0,44929233277.0,,,,,,,,,,
20140113.0,01000905,3628.533,3657.686,3588.742,3612.02,3628.634,-16.614,-0.4579,2784241500.0,27652484466.0,0.82,1.43,29.87,27.1,2.2,417420290684.0,340782263104.0,195376865240.0,3471016900731.0,2712694646328.0
20140113.0,02399001,7646.456,7697.518,7521.191,7572.56,7648.043,-75.483,-0.987,6790361500.0,79345084237.1,0.73,1.13,15.34,14.04,2.05,144493524504.0,111976217424.0,72247878821.0,1714858087675.0,1243926965469.0
20140113.0,02399005,4862.399,4888.132,4796.679,4828.985,4860.31,-31.325,-0.6445,2773258949.0,35976149252.2,1.1,2.07,29.72,28.35,3.64,87426988874.0,71992597455.0,38178729242.0,1443477144496.0,1094751893992.0
